Date,Observation Time,Purchase Order Number,RCS Number,Work Order Number,Job Start Time,Job Finish Time,Work group,Risk,OC,Authority To Proceed Description,Does ARP walk the job. In the alloted time frames,Field Verifications Completed (ARP),Field Verifications Completed (CRP),Supervision Present,# of People on Job
8/07/2021,13:20:00,7175923,,,13:00:00,,Refeak,High,1,Install bypass Bld. 30,No,No,No,No,1
9/07/2021,12:10:00,7178513,,,8:00:00,,Awayclean,High,1,Descale #34 Sand trap,No,No,No,No,3
9/07/2021,13:00:00,7178513,,,8:00:00,,Awayclean,High,1,Descale #34 Sandtrap,No,No,No,No,2
9/07/2021,14:00:00,7178513,,,8:00:00,,Awayclean,High,1,Descale #34 Sandtrap,No,No,No,No,2
21/07/2021,11:05:00,7191185,,,7:30:00,,Awayclean,High,2,Clean Bld 35 Mud troughs and floor,No,No,No,No,6
21/07/2021,7:00:00,7185218,,,6:30:00,,Roth,Medium,2,"Replace potable water line, earthworks",No,No,No,No,3
21/07/2021,9:28:00,7185218,,,6:30:00,,Roth,Medium,2,"Replace potable water line, earthworks",No,No,No,No,3
21/07/2021,11:50:00,7185218,,,6:30:00,14:00:00,Roth,Medium,2,Replace potable water line. Earthworks,No,No,No,No,3
22/07/2021,14:26:00,7179410,,,7:00:00,,Awayclean,High,2,HPW clean mud troughs,No,No,No,No,3
16/07/2021,8:15:00,7192851,92386,,7:40:00,,GLU Scaff,High,1,C/out #5 mill boxed bend,No,Yes,No,No,3
16/07/2021,11:10:00,7192851,92386,,7:40:00,,GLU Scaff,High,1,C/out #5 mill boxed bend,No,Yes,No,No,3
12/07/2021,9:48:00,7162002,,,7:00,,GLU Elec,Medium,1,Rewire S.A.S  in Sub station #14,No,No,Yes,No,2
12/07/2021,13:25:00 PM,7162002,,,6:30:00,13:30:00,GLU Elec,Medium,1,Rewire S.A.S  in Sub station #14,No,No,Yes,No,1
19/07/2021,14:20:00,7194254,,,7:00:00,,Awayclean,High,2,HPW clean  #13 Mud thickener tank,No,No,Yes,No,3
22/07/2021,14:29:00,7179410,,,7:00:00,,Awayclean,High,2,Clean #46 press,No,No,Yes,No,3
23/07/2021,13:45:00,7191185,,,8:00:00,,Awayclean,High,2,Clean mud troughs,No,No,Yes,No,6
23/07/2021,9:30:00,,90234,,7:50:00,,GLU Elec,Low,2,Rewire VTAT transportable,No,No,Yes,No,1
29/07/2021,13:27:00,7194490,92625,,7:30:00,,GLU Elec,Medium,3P,Replace lights,No,No,Yes,No,2
5/07/2021,10:45:00,7175923,,2285000,10:00:00,,Refeak,Low,1,Set up welder and spools for capital projects,No,Yes,Yes,No,3
5/07/2021,11:49:00,7180602,,,11:00:00,12:00:00,Awayclean,Medium,1,108w drain. vacuum out pit. N/E. of car park,No,Yes,Yes,No,2
5/07/2021,13:00:00,7180602,,,13:00:00,14:00:00,Awayclean,Medium,1,108w drain. vacuum out pit. N/W. of car park,No,Yes,Yes,No,4
5/07/2021,8:50:00,7181286,90145,,8:00:00,,Awayclean,High,1,HPW clean vent lines,No,Yes,Yes,No,2
5/07/2021,8:40:00,7181625,87318,,8:45:00,,GLU Scaff,High,1,Erect scaffold #51 Blow off tank,No,Yes,Yes,No,2
5/07/2021,8:45:00,7190673,,,8:00:00,,Awayclean,Medium,1,Bog out lake duck,No,Yes,Yes,No,2
5/07/2021,8:30:00,47119140,90477,,8:00:00,,GLU Elec,Low,1,Connect fume extractors mills workshop,No,Yes,Yes,No,2
5/07/2021,8:35:00,7154232cs,85039,,8:30:00,,Dartla,Medium,1,Repair insulation PFT #31,No,Yes,Yes,No,2
7/07/2021,11:00:00,7185097,,,10:30:00,,Awayclean,Medium,1,Clear scale around #56 sump pit,No,Yes,Yes,No,2
7/07/2021,13:05:00,7185097,,,10:30:00,,Awayclean,Medium,1,Clear scale around #56 sump pit,No,Yes,Yes,No,2
7/07/2021,14:10:00,7185097,,,10:30:00,,Awayclean,Medium,1,Clear scale around #56 sump pit,No,Yes,Yes,No,2
7/07/2021,8:20:00,7191412,,,7:45:00,9:30:00,Pactim Engineering,Medium,1,#22 heater repair. Bld 30,No,Yes,Yes,No,4
7/07/2021,12:10:00,7191412,,,12:00:00,,Pactim Engineering,Medium,1,Repair #26 Heater,No,Yes,Yes,No,4
7/07/2021,13:20:00,7181625,87318,,11:00:00,,GLU Scaff,High,1,Install internal scaff. internal #51 flash tank ,No,Yes,Yes,No,4
7/07/2021,7:52:00,7181625,87318,,7:30:00,,GLU Scaff,Medium,1,Erect external scaffold #51 B.O.T.,No,Yes,Yes,No,3
7/07/2021,9:10:00,7181625,87318,,7:30:00,,GLU Scaff,Medium,1,Erect external scaffold #51 B.O.T.,No,Yes,Yes,No,3
7/07/2021,13:38:00,7181625,87318,,7:30:00,,GLU Scaff,Medium,1,Erect external scaffold #51 B.O.T.,No,Yes,Yes,No,3
7/07/2021,11:15:00,7181625,87318,,11:00:00,,GLU Scaff,High,1,Install internal scaff. internal #51 flash tank ,No,Yes,Yes,No,4
7/07/2021,12:00:00,7181625,87318,,11:00:00,,GLU Scaff,High,1,Install internal scaff. internal #51 flash tank ,No,Yes,Yes,No,4
7/07/2021,8:00:00,7183397,90142,,7:30:00,9:16:00,GLU Scaff,Medium,1,Build scaffolds to cones of #34 digester bank ,No,Yes,Yes,No,4
7/07/2021,9:00:00,7183397,90142,,7:03:00,9:16:00,GLU Scaff,Medium,1,Build scaffolds to cones of #34 digester bank ,No,Yes,Yes,No,4
7/07/2021,12:00:00,7190324,84802,,7:00:00,,GLU Scaff,High,1,Erect scaffold to alarm spool 30 unit #1,No,Yes,Yes,No,2
7/07/2021,10:00:00,7190325,84802,,7:00:00,,GLU Scaff,High,1,Erect scaffold to alarm spool 30 unit #1,No,Yes,Yes,No,2
8/07/2021,8:00:00,,82775,4302013,8:00:00,,SAL,Medium,1,Routine thickness testing Bld 30,No,Yes,Yes,No,2
8/07/2021,11:50:00,,82775,4302013,8:00:00,,SAL,Medium,1,Routine thickness testing Bld 30,No,Yes,Yes,No,2
8/07/2021,13:05:00,,82775,4302013,8:00:00,,SAL,Medium,1,Routine thickness testing Bld 30,No,Yes,Yes,No,2
